iter	MultiClass	F1:class=0	F1:class=1
83	0.09886979047	0.9871575342	0.9795361528
84	0.09781207442	0.9873688718	0.9798840777
85	0.09699466148	0.9875802998	0.9802317655
86	0.09585274686	0.9875802998	0.9802317655
87	0.09484181617	0.9877970456	0.9805659734
88	0.09400066376	0.9877970456	0.9805659734
89	0.09301402578	0.9882302589	0.9812350734
90	0.09213730084	0.9882302589	0.9812350734
91	0.09115168046	0.9882302589	0.9812350734
92	0.09024632193	0.9882302589	0.9812350734
93	0.08936777607	0.9884417808	0.9815825375
94	0.0885750917	0.9886582495	0.9819174343
95	0.08763564818	0.9886582495	0.9819174343
96	0.0869021281	0.9886582495	0.9819174343
97	0.08616376484	0.988869863	0.9822646658
98	0.08549204197	0.9893025246	0.9829351536
99	0.08472377887	0.9893025246	0.9829351536
100	0.08403386618	0.9890862401	0.9825997953
101	0.08345688263	0.9892979452	0.982946794
102	0.08284923534	0.9893025246	0.9829351536
103	0.08206375006	0.9893025246	0.9829351536
104	0.08142161304	0.9899422213	0.9839645172
105	0.08085825035	0.9899422213	0.9839645172
106	0.08017368789	0.9899422213	0.9839645172
107	0.07959713865	0.9901541096	0.9843110505
108	0.07887665771	0.9903660886	0.9846573474
109	0.0782092147	0.9901541096	0.9843110505
110	0.07772055952	0.9901541096	0.9843110505
111	0.07717713866	0.9903702119	0.9846468782
112	0.07644657898	0.9907982024	0.9853292392
113	0.07590913342	0.9907982024	0.9853292392
114	0.07539523464	0.9907982024	0.9853292392
115	0.07489169611	0.9907982024	0.9853292392
116	0.07432836128	0.9910141207	0.985665529
117	0.07378175977	0.9910141207	0.985665529
118	0.07305099151	0.9912299465	0.9860020485
119	0.07243996195	0.9912299465	0.9860020485
120	0.07195673497	0.9916613214	0.9866757772
121	0.0713916836	0.9914456801	0.9863387978
122	0.07105353704	0.991657754	0.9866848754
123	0.07063995796	0.9918699187	0.9870307167
124	0.07019149139	0.9916541836	0.9866939611
125	0.0697840837	0.9916541836	0.9866939611
126	0.06927876686	0.9920855615	0.9873677023
127	0.06877931127	0.9922945205	0.9877216917
128	0.06833105464	0.9927226027	0.9884038199
129	0.06781208655	0.9925069578	0.9880668258
130	0.06733213368	0.9929351317	0.9887487214
131	0.06678551336	0.9931477516	0.9890933879
132	0.06636808153	0.9933633055	0.9894306171
133	0.06600189096	0.9933633055	0.9894306171
134	0.06547047931	0.9933661459	0.989423405
135	0.06506665573	0.9931536157	0.9890784983
136	0.06461019501	0.9933661459	0.989423405
137	0.06419648824	0.9933661459	0.989423405
138	0.06376736337	0.9933661459	0.989423405
139	0.06340436645	0.9933661459	0.989423405
140	0.06303974328	0.9933661459	0.989423405
141	0.06252712586	0.993368984	0.989416183
142	0.06203108092	0.9935815148	0.9897610922
143	0.06160811805	0.9933661459	0.989423405
144	0.06121870463	0.9935815148	0.9897610922
145	0.06093899331	0.9935815148	0.9897610922
146	0.06060846019	0.9937941365	0.990105766
147	0.0602685981	0.9935815148	0.9897610922
148	0.05992702166	0.9935815148	0.9897610922
149	0.05958409828	0.9935815148	0.9897610922
150	0.05923010187	0.9937941365	0.990105766
151	0.05899154753	0.9940068493	0.9904502046
152	0.05864841716	0.9942196532	0.9907944085
153	0.0583608014	0.9942196532	0.9907944085
154	0.05806524208	0.9942196532	0.9907944085
155	0.05778533784	0.9944325482	0.9911383776
156	0.05750807444	0.9944325482	0.9911383776
157	0.05712219214	0.9944325482	0.9911383776
158	0.05681251216	0.9944325482	0.9911383776
159	0.05652210218	0.994647827	0.9914763041
160	0.05629301798	0.994647827	0.9914763041
161	0.05597377126	0.994647827	0.9914763041
162	0.05571042922	0.994647827	0.9914763041
163	0.05538001312	0.994647827	0.9914763041
164	0.05511842626	0.994647827	0.9914763041
165	0.0547768054	0.994647827	0.9914763041
166	0.05447270767	0.994647827	0.9914763041
167	0.05410807799	0.994647827	0.9914763041
168	0.05384503769	0.994647827	0.9914763041
169	0.0535153773	0.9948608137	0.9918200409
170	0.0531932069	0.9948608137	0.9918200409
171	0.05297678854	0.9948608137	0.9918200409
172	0.05269356236	0.9948608137	0.9918200409
173	0.05241318321	0.9952870608	0.992506812
174	0.05219643171	0.9952870608	0.992506812
